timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1639510388741,848,HTTP Request,200,,Customers Search 1-7,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,824,0,1
1639510388674,916,HTTP Request,200,,Customers Search 1-5,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,892,0,1
1639510388905,684,HTTP Request,200,,Customers Search 1-12,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,660,0,1
1639510388940,651,HTTP Request,200,,Customers Search 1-13,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,626,0,0
1639510388806,786,HTTP Request,200,,Customers Search 1-9,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,759,0,1
1639510388872,724,HTTP Request,200,,Customers Search 1-11,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,693,0,1
1639510388609,988,HTTP Request,200,,Customers Search 1-3,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,956,0,1
1639510388575,1022,HTTP Request,200,,Customers Search 1-2,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,990,0,1
1639510388840,757,HTTP Request,200,,Customers Search 1-10,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,725,0,1
1639510388708,895,HTTP Request,200,,Customers Search 1-6,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,857,0,0
1639510388545,1091,HTTP Request,200,,Customers Search 1-1,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,1088,0,2
1639510389105,536,HTTP Request,200,,Customers Search 1-18,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,534,0,0
1639510389137,518,HTTP Request,200,,Customers Search 1-19,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,515,0,1
1639510389169,501,HTTP Request,200,,Customers Search 1-20,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,490,0,1
1639510389038,662,HTTP Request,200,,Customers Search 1-16,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,661,0,0
1639510388774,927,HTTP Request,200,,Customers Search 1-8,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,925,0,1
1639510389203,498,HTTP Request,200,,Customers Search 1-21,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,497,0,1
1639510388642,1061,HTTP Request,200,,Customers Search 1-4,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,1057,0,1
1639510388972,747,HTTP Request,200,,Customers Search 1-14,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,742,0,1
1639510389075,648,HTTP Request,200,,Customers Search 1-17,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,600,0,1
1639510389005,726,HTTP Request,200,,Customers Search 1-15,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,699,0,0
1639510389269,462,HTTP Request,200,,Customers Search 1-23,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,461,0,1
1639510389235,509,HTTP Request,200,,Customers Search 1-22,text,true,,1715,129,30,30,http://localhost:9090/v1/customers,509,0,1
